Variable,Level,Actigraphy,No actigraphy,Missing_Actigraphy,Missing_No actigraphy,p_value,q_value
sex,female,419 (72.9%),548 (73.5%),0,0,0.8596,0.9887
,male,156 (27.1%),198 (26.5%),,,,
mAge,,43.547 (5.944),43.496 (6.010),3,8,0.8776,0.9887
mEdu,higher edu,274 (50.9%),332 (48.5%),37,62,0.6991,0.9866
,lower edu,252 (46.8%),335 (49.0%),,,,
,overseas,12 (2.2%),17 (2.5%),,,,
mEmploy,intermediate,97 (22.4%),135 (25.1%),141,209,0.4119,0.9023
,lo sup and tech,15 (3.5%),21 (3.9%),,,,
,management,181 (41.7%),197 (36.7%),,,,
,s-emp,44 (10.1%),47 (8.8%),,,,
,semi-rou and routine,97 (22.4%),137 (25.5%),,,,
mReligion,buddhist,1 (0.2%),2 (0.3%),3,9,0.41,0.9023
,christian,244 (42.7%),277 (37.6%),,,,
,hindu,5 (0.9%),11 (1.5%),,,,
,jewish,0 (0.0%),1 (0.1%),,,,
,muslim,28 (4.9%),46 (6.2%),,,,
,none,289 (50.5%),389 (52.8%),,,,
,other,1 (0.2%),5 (0.7%),,,,
,sikh,4 (0.7%),6 (0.8%),,,,
mEthnicity,White,527 (92.1%),644 (87.4%),3,9,0.007233,0.1411
,non-white,45 (7.9%),93 (12.6%),,,,
FHYPER,,3.007 (2.498),3.323 (2.512),13,16,0.02466,0.2836
FCONDUCT,,1.587 (1.800),1.881 (1.809),13,15,0.003765,0.1411
FPEER,,2.043 (1.951),2.109 (1.973),13,15,0.5441,0.9595
FPROSOC,,8.363 (1.846),8.082 (2.008),13,16,0.0092,0.1411
FEMOTION,,2.808 (2.541),2.943 (2.487),13,15,0.3403,0.9023
child_alcohol,many,6 (1.7%),7 (1.5%),222,290,0.9631,1
,none,147 (41.6%),187 (41.0%),,,,
,some,200 (56.7%),262 (57.5%),,,,
child_cannabis,more than 5,13 (24.5%),26 (31.7%),522,664,0.4813,0.9097
,one to four,40 (75.5%),56 (68.3%),,,,
mAlcohol,,2.582 (2.145),2.581 (2.387),3,8,0.9945,1
fAlcohol,,3.439 (2.592),3.377 (2.521),192,290,0.7292,0.9866
child_ADHD,No,510 (98.1%),654 (98.2%),55,80,1,1
,Yes,10 (1.9%),12 (1.8%),,,,
child_autism,No,502 (97.5%),643 (96.5%),60,80,0.453,0.9097
,Yes,13 (2.5%),23 (3.5%),,,,
child_ilness,No,403 (76.9%),505 (74.5%),51,68,0.367,0.9023
,Yes,121 (23.1%),173 (25.5%),,,,
child_specneeds,No,540 (96.1%),701 (95.8%),13,14,0.8833,0.9887
,Yes,22 (3.9%),31 (4.2%),,,,
mNeurotic,,12.062 (4.047),12.420 (4.230),27,34,0.1273,0.7664
mConscienc,,17.418 (3.219),17.294 (3.154),27,38,0.4944,0.9097
mOpenness,,13.935 (3.837),13.990 (3.994),33,43,0.8068,0.9887
mAgree,,17.946 (2.854),18.031 (2.753),24,38,0.5923,0.9595
mExtravert,,14.390 (4.028),14.366 (3.951),19,42,0.9163,0.9887
fNeurotic,,10.503 (3.915),10.551 (4.008),199,316,0.8623,0.9887
fConscienc,,17.230 (2.912),17.122 (2.974),201,320,0.6049,0.9595
fOpenness,,14.288 (3.529),14.534 (3.767),200,323,0.3408,0.9023
fAgree,,16.455 (3.192),16.802 (2.964),195,316,0.1107,0.7664
fExtravert,,13.124 (3.694),13.028 (3.837),197,317,0.7166,0.9866
mKessler,,4.890 (4.559),5.253 (4.721),18,35,0.1666,0.7664
fKessler,,3.827 (3.899),3.975 (3.539),200,310,0.5738,0.9595
mDepression,No,327 (62.6%),382 (60.1%),53,110,0.403,0.9023
,Yes,195 (37.4%),254 (39.9%),,,,
fDepression,No,305 (87.1%),340 (84.4%),225,343,0.3273,0.9023
,Yes,45 (12.9%),63 (15.6%),,,,
sexualassault,No,517 (90.4%),668 (89.9%),3,3,0.8452,0.9887
,Yes,55 (9.6%),75 (10.1%),,,,
banghead,No,554 (97.7%),710 (96.5%),8,10,0.255,0.9023
,Yes,13 (2.3%),26 (3.5%),,,,
knockedout,No,562 (99.1%),731 (99.3%),8,10,0.9242,0.9887
,Yes,5 (0.9%),5 (0.7%),,,,
BMI,,22.008 (4.011),22.177 (4.399),18,38,0.4766,0.9097
Obesity,not overweight/underweight,393 (70.6%),488 (68.9%),18,38,0.2907,0.9023
,obese,39 (7.0%),67 (9.5%),,,,
,overweight,125 (22.4%),153 (21.6%),,,,
cog_word_activity,,7.282 (2.584),7.251 (2.618),26,42,0.8346,0.9887
cog_decision_making,,0.890 (0.126),0.880 (0.131),34,39,0.1613,0.7664
cog_risk_adjustment,,1.067 (0.944),0.948 (0.984),34,39,0.03131,0.2881
cog_risk_taking,,0.493 (0.149),0.503 (0.150),34,39,0.2384,0.9023
mAlcohol_binary,high risk,84 (14.7%),101 (13.7%),3,8,0.6633,0.9866
,low risk,488 (85.3%),637 (86.3%),,,,
fAlcohol_binary,high risk,106 (27.7%),133 (29.2%),192,290,0.6894,0.9866
,low risk,277 (72.3%),323 (70.8%),,,,
SelfEsteem,,11.744 (3.475),11.980 (3.374),0,0,0.2163,0.9023
Depression,,25.430 (7.145),25.983 (7.052),0,0,0.161,0.7664
