Variable,Level,no,yes,Missing_no,Missing_yes
sex,female,680 (70.3%),287 (81.1%),0,0
,male,287 (29.7%),67 (18.9%),,
mAge,,43.565 (5.776),43.392 (6.506),9,2
mEdu,higher edu,463 (51.7%),143 (43.9%),71,28
,lower edu,409 (45.6%),178 (54.6%),,
,overseas,24 (2.7%),5 (1.5%),,
mEmploy,intermediate,179 (23.9%),53 (24.0%),217,133
,lo sup and tech,30 (4.0%),6 (2.7%),,
,management,297 (39.6%),81 (36.7%),,
,s-emp,70 (9.3%),21 (9.5%),,
,semi-rou and routine,174 (23.2%),60 (27.1%),,
mReligion,buddhist,1 (0.1%),2 (0.6%),10,2
,christian,386 (40.3%),135 (38.4%),,
,hindu,11 (1.1%),5 (1.4%),,
,jewish,1 (0.1%),0 (0.0%),,
,muslim,61 (6.4%),13 (3.7%),,
,none,483 (50.5%),195 (55.4%),,
,other,5 (0.5%),1 (0.3%),,
,sikh,9 (0.9%),1 (0.3%),,
mEthnicity,White,848 (88.6%),323 (91.8%),10,2
,non-white,109 (11.4%),29 (8.2%),,
FHYPER,,3.054 (2.461),3.549 (2.610),19,10
FCONDUCT,,1.636 (1.746),2.076 (1.942),18,10
FPEER,,1.838 (1.835),2.750 (2.143),18,10
FPROSOC,,8.213 (1.947),8.180 (1.935),19,10
FEMOTION,,2.543 (2.328),3.826 (2.747),18,10
child_alcohol,many,7 (0.7%),6 (1.7%),0,0
,none,631 (65.3%),215 (60.7%),,
,some,329 (34.0%),133 (37.6%),,
child_cannabis,more than 5,20 (2.1%),19 (5.4%),0,0
,none,881 (91.1%),305 (86.2%),,
,one to four,66 (6.8%),30 (8.5%),,
mAlcohol,,2.636 (2.293),2.435 (2.255),9,2
fAlcohol,,3.447 (2.619),3.272 (2.331),330,152
child_ADHD,No,860 (98.4%),304 (97.4%),93,42
,Yes,14 (1.6%),8 (2.6%),,
child_autism,No,849 (97.1%),296 (96.4%),93,47
,Yes,25 (2.9%),11 (3.6%),,
child_ilness,No,705 (79.5%),203 (64.4%),80,39
,Yes,182 (20.5%),112 (35.6%),,
child_specneeds,No,912 (96.0%),329 (95.6%),17,10
,Yes,38 (4.0%),15 (4.4%),,
mNeurotic,,11.987 (3.987),13.015 (4.495),47,14
mConscienc,,17.505 (3.164),16.923 (3.196),50,15
mOpenness,,13.945 (3.877),14.024 (4.058),58,18
mAgree,,18.003 (2.744),17.967 (2.943),44,18
mExtravert,,14.514 (3.888),14.009 (4.215),49,12
fNeurotic,,10.579 (3.946),10.372 (4.020),357,158
fConscienc,,17.133 (2.959),17.298 (2.898),358,163
fOpenness,,14.407 (3.641),14.455 (3.717),360,163
fAgree,,16.692 (2.987),16.477 (3.342),354,157
fExtravert,,13.127 (3.812),12.901 (3.632),352,162
mKessler,,4.681 (4.277),6.221 (5.397),39,14
fKessler,,3.799 (3.661),4.246 (3.844),351,159
mDepression,No,559 (65.5%),150 (49.3%),113,50
,Yes,295 (34.5%),154 (50.7%),,
fDepression,No,500 (87.1%),145 (81.0%),393,175
,Yes,74 (12.9%),34 (19.0%),,
sexualassault,No,875 (91.1%),310 (87.6%),6,0
,Yes,86 (8.9%),44 (12.4%),,
banghead,No,929 (97.3%),335 (96.3%),12,6
,Yes,26 (2.7%),13 (3.7%),,
knockedout,No,948 (99.3%),345 (99.1%),12,6
,Yes,7 (0.7%),3 (0.9%),,
BMI,,21.849 (4.060),22.793 (4.604),42,14
Obesity,not overweight/underweight,667 (72.1%),214 (62.9%),42,14
,obese,65 (7.0%),41 (12.1%),,
,overweight,193 (20.9%),85 (25.0%),,
cog_word_activity,,7.358 (2.597),7.012 (2.603),50,18
cog_decision_making,,0.883 (0.130),0.887 (0.127),55,18
cog_risk_adjustment,,0.993 (0.973),1.017 (0.955),55,18
cog_risk_taking,,0.503 (0.150),0.486 (0.149),55,18
mAlcohol_binary,high risk,133 (13.9%),52 (14.8%),9,2
,low risk,825 (86.1%),300 (85.2%),,
fAlcohol_binary,high risk,183 (28.7%),56 (27.7%),330,152
,low risk,454 (71.3%),146 (72.3%),,
mean_acc_24h,,35.982 (103.587),30.035 (10.294),548,198
mean_acc_5to9,,21.246 (108.648),15.166 (10.117),548,198
m5_hour_start,,9.361 (2.982),9.151 (2.511),548,198
m5_mean_acc,,77.755 (123.678),68.621 (27.993),548,198
l5_hour_start,,16.450 (6.568),16.576 (6.476),548,198
l5_mean_acc,,7.964 (89.278),3.762 (1.357),548,198
mvpa_acc_5sec,,123.712 (82.415),117.465 (49.414),548,198
mvpa_acc_1min,,118.964 (87.845),110.814 (57.433),548,198
mvpa_acc_5min,,107.673 (93.117),99.920 (66.865),548,198
mvpa_bout1,,59.266 (76.708),53.295 (36.694),548,198
mvpa_bout5,,35.830 (74.697),30.762 (30.271),548,198
mvpa_bout10,,27.126 (73.720),22.616 (28.823),548,198
SelfEsteem,,11.490 (3.275),12.935 (3.580),0,0
Depression,,24.826 (6.774),28.243 (7.357),0,0
