Variable,Missing_Count,Missing_Percent,High_Missing_over_50_percent
child_cannabis,1186,89.78046934140802,True
mvpa_acc_5min,746,56.47236941710825,True
mvpa_acc_1min,746,56.47236941710825,True
mvpa_bout10,746,56.47236941710825,True
mvpa_acc_5sec,746,56.47236941710825,True
l5_mean_acc,746,56.47236941710825,True
l5_hour_start,746,56.47236941710825,True
m5_mean_acc,746,56.47236941710825,True
m5_hour_start,746,56.47236941710825,True
mean_acc_5to9,746,56.47236941710825,True
mean_acc_24h,746,56.47236941710825,True
mvpa_bout5,746,56.47236941710825,True
mvpa_bout1,746,56.47236941710825,True
fDepression,568,42.99772899318698,False
fOpenness,523,39.59121877365632,False
fConscienc,521,39.43981831945496,False
fNeurotic,515,38.98561695685087,False
fExtravert,514,38.90991672975019,False
child_alcohol,512,38.75851627554883,False
fAgree,511,38.682816048448146,False
fKessler,510,38.60711582134746,False
fAlcohol_binary,482,36.48750946252839,False
fAlcohol,482,36.48750946252839,False
mEmploy,350,26.495079485238453,False
mDepression,163,12.339137017411051,False
child_autism,140,10.598031794095382,False
child_ADHD,135,10.219530658591976,False
child_ilness,119,9.008327024981075,False
mEdu,99,7.494322482967449,False
mOpenness,76,5.753217259651779,False
cog_decision_making,73,5.526116578349735,False
cog_risk_taking,73,5.526116578349735,False
cog_risk_adjustment,73,5.526116578349735,False
cog_word_activity,68,5.1476154428463285,False
mConscienc,65,4.920514761544284,False
mAgree,62,4.69341408024224,False
mNeurotic,61,4.617713853141559,False
mExtravert,61,4.617713853141559,False
BMI,56,4.239212717638153,False
Obesity,56,4.239212717638153,False
mKessler,53,4.0121120363361085,False
FHYPER,29,2.195306585919758,False
FPROSOC,29,2.195306585919758,False
FPEER,28,2.1196063588190763,False
FCONDUCT,28,2.1196063588190763,False
FEMOTION,28,2.1196063588190763,False
child_specneeds,27,2.043906131718395,False
banghead,18,1.3626040878122634,False
knockedout,18,1.3626040878122634,False
mEthnicity,12,0.9084027252081757,False
mReligion,12,0.9084027252081757,False
mAge,11,0.8327024981074944,False
mAlcohol,11,0.8327024981074944,False
mAlcohol_binary,11,0.8327024981074944,False
sexualassault,6,0.45420136260408783,False
SelfEsteem,0,0.0,False
id,0,0.0,False
suicide_17y,0,0.0,False
sex,0,0.0,False
self_harm_14y,0,0.0,False
Depression,0,0.0,False
