Variable,Level,Actigraphy,No actigraphy,Missing_Actigraphy,Missing_No actigraphy,p_value,q_value
sex,female,419 (72.9%),548 (73.5%),0,0,0.8596,0.8596
,male,156 (27.1%),198 (26.5%),,,,
mEthnicity,White,527 (92.1%),644 (87.4%),3,9,0.007233,0.03987
,non-white,45 (7.9%),93 (12.6%),,,,
FHYPER,,3.007 (2.498),3.323 (2.512),13,16,0.02466,0.08015
FCONDUCT,,1.587 (1.800),1.881 (1.809),13,15,0.003765,0.03987
FPEER,,2.043 (1.951),2.109 (1.973),13,15,0.5441,0.643
FPROSOC,,8.363 (1.846),8.082 (2.008),13,16,0.0092,0.03987
FEMOTION,,2.808 (2.541),2.943 (2.487),13,15,0.3403,0.4424
SelfEsteem,,11.744 (3.475),11.980 (3.374),0,0,0.2163,0.3444
Depression,,25.430 (7.145),25.983 (7.052),0,0,0.161,0.2996
cog_word_activity,,7.282 (2.584),7.251 (2.618),26,42,0.8346,0.8596
cog_decision_making,,0.890 (0.126),0.880 (0.131),34,39,0.1613,0.2996
cog_risk_adjustment,,1.067 (0.944),0.948 (0.984),34,39,0.03131,0.08141
cog_risk_taking,,0.493 (0.149),0.503 (0.150),34,39,0.2384,0.3444
