Model,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,Threshold
XGBoost (AUCPR),0.45234926966475725,0.5074804801138633,0.3203106857276913,0.7793158953722334,0.3928048715346402,0.8395608943399298,0.6497859632556302,0.282
XGBoost (Balanced Acc),0.45513162937967433,0.5095676695490672,0.3221421875591931,0.7849496981891348,0.393841140964692,0.8441378289981654,0.6489248379546012,0.31
XGBoost (F1 Weighted),0.44354612817609496,0.5634144361681376,0.33611919614136254,0.6750100603621731,0.5004754019550237,0.8146590833414848,0.6366985138221025,0.236
XGBoost (F1 (macro)),0.45513162937967433,0.5095676695490672,0.3221421875591931,0.7849496981891348,0.393841140964692,0.8441378289981654,0.6489248379546012,0.31
LogReg (AUCPR),0.4674120547673447,0.5769254377288185,0.35583653070304866,0.7168611670020122,0.5085679183804284,0.8404525519406189,0.6690823806145456,0.41800000000000004
LogReg (Balanced Acc),0.4713418059873641,0.592871995111173,0.3612095507819511,0.70841046277666,0.5292559158164627,0.8403739194619864,0.6699410984361378,0.42800000000000005
LogReg (F1 Weighted),0.4713418059873641,0.592871995111173,0.3612095507819511,0.70841046277666,0.5292559158164627,0.8403739194619864,0.6699410984361378,0.42800000000000005
LogReg (F1 (macro)),0.46904809969365785,0.581499035150755,0.3583461832127012,0.7140442655935614,0.5157844132257892,0.8410405861286531,0.6695470241458364,0.422
MLP (AUCPR),0.45821992052639315,0.49124682829082406,0.3202651016075863,0.8132796780684105,0.3649751615832487,0.8496920402748142,0.6584915271233189,0.15999999999999998
MLP (Balanced Acc),0.45188214945525146,0.5062576427413483,0.3232375007583294,0.7761368209255534,0.39899578013994974,0.8439379629429469,0.6488155330143351,0.16999999999999998
MLP (F1 Weighted),0.45188214945525146,0.5062576427413483,0.3232375007583294,0.7761368209255534,0.39899578013994974,0.8439379629429469,0.6488155330143351,0.16999999999999998
MLP (F1 (macro)),0.4518083837602195,0.5009805619063205,0.32324260382963665,0.7789537223340041,0.3938785321296939,0.843314069656067,0.6457222981067862,0.146
