Feature,Beta,OR,CI_low,CI_high,p_value,Feature_raw,stars,significant
Autism diagnosis: yes,0.0182846792401471,1.0184528675132931,0.1684007565026433,6.159391827493172,0.9841124744611024,child_autism_Yes,,False
ADHD diagnosis: yes,-0.1429016915694251,0.8668392823162266,0.1557676468329166,4.823917910068366,0.8703809411032908,child_ADHD_Yes,,False
Mean 24-hour acceleration,-0.0788617017382327,0.9241677263976312,0.4446546035081666,1.920785211210078,0.8326715811147802,mean_acc_24h,,False
Cannabis use: 1–4 times,0.0933302094550264,1.097824187348856,0.5014795174530583,2.403324371949034,0.8153982857422257,child_cannabis_one to four,,False
Moderate-to-vigorous physical activity,-0.0456819760533068,0.955345736706013,0.6578543299086222,1.387367134558693,0.8103403840715415,mvpa_acc_5sec,,False
Conduct problems,0.0721001758959669,1.074763004018137,0.8208035295043472,1.40729842560938,0.6001217176288332,FCONDUCT,,False
Hyperactivity/inattention,-0.0822038822919827,0.9210841468042804,0.7077209889560537,1.198771858872834,0.5408975930592552,FHYPER,,False
Most active 5 hour block start time,-0.0749881520241191,0.9277544782761186,0.7453108524037819,1.1548582302073902,0.5020728518553157,m5_hour_start,,False
Special educational needs: yes,-0.6639159129628247,0.5148313472794339,0.1263697702872816,2.097426588170612,0.3542275408042203,child_specneeds_Yes,,False
Least active 5h block start time,0.1087442581824331,1.1148771931599517,0.9004960443771837,1.3802960752458195,0.3182519108922178,l5_hour_start,,False
Emotional symptoms,0.1605527861070363,1.1741597508271062,0.9126483620103754,1.510604935975001,0.2116815320820191,FEMOTION,,False
Alcohol use: some occasions,0.2989546059602895,1.348448410562874,0.8722984827153134,2.08450794307179,0.1785523533489262,child_alcohol_some,,False
Alcohol use: many occasions,1.4442589618089072,4.238709932774253,0.6381396887738315,28.154747636401627,0.1349104036539339,child_alcohol_many,,False
Male sex,-0.4698015637815994,0.6251263036754607,0.3615526864866495,1.080846333474483,0.0926259447073141,sex_male,,False
Self-esteem issues,0.230877957926767,1.259705492997626,0.9691819729941,1.637316802525847,0.0843497088413532,SelfEsteem,,False
Cannabis use: more than 5 times,1.28570806068402,3.617228267804405,0.9533614233004666,13.724428135665738,0.0587849552306691,child_cannabis_more than 5,,False
Depression symptoms,0.2652574848507487,1.3037666327200628,1.004662055386513,1.6919196096644276,0.0460448990973866,Depression,*,True
Prosocial behaviour,0.3242525837973418,1.3829965855358737,1.0693073164968272,1.788708939044803,0.0134895128887088,FPROSOC,*,True
Peer problems,0.4397012043167586,1.5522433456021698,1.206286213067861,1.9974193337072237,0.0006312979885333,FPEER,***,True
