Feature,Beta,OR,CI_low,CI_high,p_value,Feature_raw,stars,significant
Hyperactivity/inattention,-0.0050947513947771,0.994918204838842,0.8416786013310283,1.1760572655101107,0.952393839703863,FHYPER,,False
Cannabis use: 1–4 times,0.0276281036756071,1.028013298954649,0.6291742491220577,1.6796799047359028,0.9121770695909024,child_cannabis_one to four,,False
Conduct problems,-0.0255094152881688,0.9748132007753374,0.8307737729173743,1.1438261622883077,0.7545020858823868,FCONDUCT,,False
Parent 1 neuroticism,0.0263547757877077,1.0267051339901754,0.8818265146450021,1.195386410654871,0.7341716230520473,mNeurotic,,False
Parent 1 psychological distress,0.0661210519169398,1.068356035884814,0.9163286335220456,1.245606191552077,0.3985158067237518,mKessler,,False
Emotional symptoms,0.1439357644483444,1.1548099262896985,0.980000212178732,1.3608017113510575,0.0856582696458871,FEMOTION,,False
Parent 1 conscientiousness,-0.1190480846082228,0.8877651118980201,0.7788386570132901,1.011925752280495,0.0746688022752055,mConscienc,,False
Parent 1 depression: yes,0.2735371558141563,1.3146062035684154,0.9817652371061796,1.760287902996565,0.0662915322354825,mDepression_Yes,,False
Childhood illness: yes,0.3080083930494974,1.3607124094158276,0.9922750723524792,1.865952610044524,0.0558936643521531,child_ilness_Yes,,False
Self-esteem issues,0.175425775235417,1.19175352774327,1.008394700474627,1.4084529304051672,0.0395829767860913,SelfEsteem,*,True
Male sex,-0.4074931184356911,0.66531602979732,0.4709882612688216,0.9398226153509665,0.0207689603465156,sex_male,*,True
BMI,0.1500940318835749,1.161943497327156,1.0234638382601824,1.3191601310271608,0.0204376608718026,BMI,*,True
Depression symptoms,0.2478860740331539,1.2813139489480705,1.0796314482012344,1.52067211315883,0.004556119413927,Depression,**,True
Peer problems,0.2812028867657808,1.3247223453044985,1.1335701944610366,1.5481081813230135,0.0004048548353388,FPEER,***,True
Cannabis use: more than 5 times,1.4015328682662784,4.0614208208440195,2.000459134833384,8.245676603315951,0.0001048461377441,child_cannabis_more than 5,***,True
