Feature,Beta,OR,CI_low,CI_high,p_value
child_cannabis_more than 5,1.4015328682662784,4.0614208208440195,2.0004591348333842,8.245676603315951,0.000104846137744162
FPEER,0.2812028867657808,1.3247223453044983,1.1335701944610366,1.5481081813230135,0.00040485483533887713
Depression,0.2478860740331539,1.2813139489480705,1.0796314482012344,1.5206721131588299,0.004556119413927011
BMI,0.15009403188357498,1.161943497327156,1.0234638382601824,1.3191601310271608,0.020437660871802613
sex_male,-0.4074931184356911,0.66531602979732,0.47098826126882165,0.9398226153509663,0.020768960346515614
SelfEsteem,0.17542577523541705,1.19175352774327,1.008394700474627,1.4084529304051672,0.0395829767860913
child_ilness_Yes,0.3080083930494974,1.3607124094158276,0.9922750723524792,1.8659526100445238,0.05589366435215316
mDepression_Yes,0.2735371558141563,1.3146062035684154,0.9817652371061795,1.760287902996565,0.06629153223548255
mConscienc,-0.11904808460822289,0.8877651118980201,0.7788386570132901,1.011925752280495,0.0746688022752055
FEMOTION,0.14393576444834444,1.1548099262896983,0.980000212178732,1.3608017113510575,0.08565826964588713
mKessler,0.06612105191693984,1.068356035884814,0.9163286335220457,1.245606191552077,0.39851580672375186
mNeurotic,0.02635477578770779,1.0267051339901754,0.8818265146450021,1.195386410654871,0.7341716230520473
FCONDUCT,-0.025509415288168812,0.9748132007753374,0.8307737729173743,1.1438261622883077,0.7545020858823868
child_cannabis_one to four,0.027628103675607137,1.0280132989546493,0.6291742491220577,1.6796799047359028,0.9121770695909025
FHYPER,-0.005094751394777177,0.9949182048388419,0.8416786013310283,1.1760572655101107,0.952393839703863
