Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr,Feature_raw
Depression symptoms,0.5533237840665145,1.7390235613391192,1.430446826759041,2.1141666298386785,2.8238630702554643e-08,575,,1.722556472855833e-06,True,Depression
Self-esteem issues,0.4950054482588564,1.6405071769404518,1.3543033478737427,1.9871942292828384,4.179249050009337e-07,575,,1.2746709602528477e-05,True,SelfEsteem
Emotional symptoms,0.3970943385665304,1.4874962516964356,1.2433892164870632,1.7795273350225065,1.4124019948664805e-05,575,,0.0002871884056228,True,FEMOTION
Peer problems,0.3793159251688882,1.4612846194168256,1.222076883421779,1.74731456581132,3.198074319765502e-05,575,,0.0004877063337642,True,FPEER
Childhood illness: yes,0.6982790433081046,2.0102901066203813,1.3151898702241611,3.072762651439058,0.0012569722051499,575,,0.0146584748206025,True,child_ilness_Yes
Male sex,-0.7539070197384956,0.47052460789616,0.2959150376255836,0.7481654477997853,0.001441817195469,575,,0.0146584748206025,True,sex_male
Parent 1 psychological distress,0.2559339274080389,1.291667381308364,1.0834912834791257,1.5398412976417353,0.0043131535616109,575,,0.035398900289852,True,mKessler
BMI,0.2574801616038885,1.2936661464642958,1.082429544732033,1.5461256639314036,0.0046424787265379,575,,0.035398900289852,True,BMI
Parent 1 depression: yes,0.4624200010356362,1.587912087912087,1.0862543052649556,2.3212472316252835,0.0169821149603061,575,,0.1151010013976306,False,mDepression_Yes
Weight status: obese,0.6768662949558079,1.9677018633540373,1.0103862182851588,3.832050114082423,0.0465486444711488,575,,0.2811296800230005,False,Obesity_obese
Alcohol use: many occasions,1.7023528815124704,5.486842105263158,0.9948282623528568,30.261943118590768,0.0506955160697214,575,,0.2811296800230005,False,child_alcohol_many
Parent 1 extraversion,-0.1720060920727575,0.8419740437857409,0.7012323562925717,1.010963461750378,0.065305855680607,575,,0.331971433043086,False,mExtravert
Parent 1 neuroticism,0.1619350429370819,1.1757838633739917,0.9781748312510454,1.4133134989811078,0.0845378547852974,575,,0.3742370129398564,False,mNeurotic
Alcohol use: some occasions,0.332461378348265,1.3943960442665406,0.9541402816493346,2.037792938481932,0.0858904619861965,575,,0.3742370129398564,False,child_alcohol_some
Risk-taking,-0.1494797596308382,0.8611558679559795,0.7150093447760134,1.0371744569958448,0.115179546241999,575,,0.4150886212329973,False,cog_risk_taking
History of loss of consciousness: yes,1.40811340851453,4.088235294117645,0.6765972767305435,24.70253486805778,0.1249538131252301,575,,0.4150886212329973,False,knockedout_Yes
Parent 1 religion: Hindu,1.40811340851453,4.088235294117645,0.6765972767305435,24.70253486805778,0.1249538131252301,575,,0.4150886212329973,False,mReligion_hindu
Parent 2 extraversion,-0.1446488857116998,0.8653260681243037,0.718489669768583,1.0421711482875504,0.1273525581782998,575,,0.4150886212329973,False,fExtravert
Cannabis use: more than 5 times,0.8562373754260126,2.354285714285715,0.7787161437931202,7.117691431811778,0.1292898984168352,575,,0.4150886212329973,False,child_cannabis_more than 5
Parent 1 ethnicity: non-White,-0.5832680361219283,0.5580715850986121,0.2539305609072744,1.2264923646122483,0.146550262162057,575,,0.4346663212865599,False,mEthnicity_non-white
Conduct problems,0.1299768188397749,1.1388019842673809,0.954242937553316,1.3590563873561434,0.1496392253609468,575,,0.4346663212865599,False,FCONDUCT
Parent 1 education: higher education,-0.2606077208927138,0.7705831440008659,0.5331330636298313,1.1137902004715086,0.1655635549723485,575,,0.4590625842415118,False,mEdu_higher edu
