Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr
Depression,0.5533237840665145,1.7390235613391192,1.430446826759041,2.1141666298386785,2.8238630702554643e-08,575,,1.722556472855833e-06,True
SelfEsteem,0.4950054482588564,1.6405071769404518,1.3543033478737427,1.9871942292828386,4.1792490500093367e-07,575,,1.2746709602528477e-05,True
FEMOTION,0.3970943385665304,1.4874962516964356,1.2433892164870632,1.7795273350225063,1.4124019948664803e-05,575,,0.00028718840562285097,True
FPEER,0.3793159251688882,1.4612846194168256,1.222076883421779,1.74731456581132,3.198074319765502e-05,575,,0.000487706333764239,True
child_ilness_Yes,0.6982790433081046,2.0102901066203813,1.3151898702241613,3.072762651439058,0.0012569722051499975,575,,0.014658474820602512,True
sex_male,-0.7539070197384956,0.47052460789616,0.29591503762558363,0.7481654477997853,0.0014418171954690996,575,,0.014658474820602512,True
mKessler,0.25593392740803894,1.291667381308364,1.0834912834791257,1.5398412976417353,0.00431315356161097,575,,0.03539890028985201,True
BMI,0.25748016160388854,1.2936661464642958,1.0824295447320327,1.5461256639314036,0.004642478726537968,575,,0.03539890028985201,True
mDepression_Yes,0.4624200010356362,1.587912087912087,1.0862543052649556,2.3212472316252835,0.016982114960306154,575,,0.1151010013976306,False
Obesity_obese,0.6768662949558079,1.9677018633540373,1.0103862182851588,3.832050114082423,0.0465486444711488,575,,0.2811296800230005,False
child_alcohol_many,1.7023528815124704,5.486842105263158,0.9948282623528568,30.261943118590768,0.050695516069721405,575,,0.2811296800230005,False
mExtravert,-0.17200609207275758,0.8419740437857409,0.7012323562925717,1.010963461750378,0.06530585568060708,575,,0.331971433043086,False
mNeurotic,0.1619350429370819,1.1757838633739917,0.9781748312510454,1.4133134989811078,0.08453785478529749,575,,0.37423701293985645,False
child_alcohol_some,0.33246137834826506,1.3943960442665406,0.9541402816493346,2.037792938481932,0.08589046198619657,575,,0.37423701293985645,False
cog_risk_taking,-0.1494797596308382,0.8611558679559795,0.7150093447760134,1.0371744569958448,0.115179546241999,575,,0.4150886212329973,False
knockedout_Yes,1.40811340851453,4.088235294117645,0.6765972767305435,24.70253486805778,0.12495381312523016,575,,0.4150886212329973,False
mReligion_hindu,1.40811340851453,4.088235294117645,0.6765972767305435,24.70253486805778,0.12495381312523016,575,,0.4150886212329973,False
fExtravert,-0.14464888571169984,0.8653260681243037,0.718489669768583,1.0421711482875504,0.12735255817829985,575,,0.4150886212329973,False
child_cannabis_more than 5,0.8562373754260126,2.354285714285715,0.7787161437931202,7.117691431811778,0.12928989841683522,575,,0.4150886212329973,False
mEthnicity_non-white,-0.5832680361219283,0.5580715850986121,0.2539305609072744,1.2264923646122485,0.14655026216205705,575,,0.43466632128655996,False
FCONDUCT,0.1299768188397749,1.1388019842673807,0.9542429375533159,1.3590563873561434,0.14963922536094687,575,,0.43466632128655996,False
mEdu_higher edu,-0.2606077208927138,0.7705831440008659,0.5331330636298313,1.1137902004715086,0.16556355497234854,575,,0.45906258424151186,False
mConscienc,-0.12405943612155067,0.8833273377714589,0.7380690735837717,1.0571736624402157,0.17591582862555377,575,,0.4665593715721209,False
cog_risk_adjustment,-0.12181301871835908,0.885313890153255,0.733982111683861,1.0678471200070307,0.20279100051563104,575,,0.5125878062300054,False
mEmploy_management,0.23908819631710143,1.2700905489530276,0.8738916027165653,1.8459154402276592,0.21007696976639567,575,,0.5125878062300054,False
mOpenness,0.1132901427242345,1.1199568331391856,0.9301129959233281,1.348549384421836,0.23189741985390944,575,,0.5412247675543364,False
Obesity_overweight,0.25518290505882624,1.2906976744186045,0.8370434654827162,1.9902198098982617,0.2481172160488132,575,,0.5412247675543364,False
child_cannabis_one to four,0.39894334586177693,1.4902491874322858,0.7568886915693028,2.934173367074598,0.24843104084461343,575,,0.5412247675543364,False
mReligion_muslim,-0.5619219290554932,0.5701122948459545,0.21287385855443358,1.5268574119043754,0.26357234919202843,575,,0.5544108034728874,False
FPROSOC,0.1056199577545015,1.1113994175052073,0.9180635733096003,1.3454500332455328,0.27870506478426216,575,,0.5656086145972015,False
fOpenness,-0.098222393777567,0.9064472930985967,0.7563883582371115,1.086276231274576,0.2874404434838237,575,,0.5656086145972015,False
fAlcohol_binary_high risk,0.24030254000339565,1.271633812228533,0.8029604870350925,2.0138631707442913,0.30562306186101773,575,,0.582593961672565,False
fDepression_Yes,0.32167227268033255,1.379432624113475,0.7208030556910981,2.6398811012866346,0.3313650728199149,575,,0.6125233164246912,False
banghead_Yes,-0.7304335202478922,0.4817001180637547,0.10556190393302997,2.198094152316934,0.3456293964248601,575,,0.6200997994681314,False
mean_acc_24h,-0.6935615124379799,0.4997928769727822,0.1093745241817443,2.2838309171307336,0.3709618113837133,575,,0.6333705622200618,False
mvpa_acc_5sec,-0.10852703617306082,0.8971546388609998,0.7056009246968696,1.1407105884613102,0.3758084788687308,575,,0.6333705622200618,False
fKessler,0.07708302481030338,1.080131750403645,0.9047852753345338,1.2894601957339256,0.39371643474364504,575,,0.6333705622200618,False
mAlcohol_binary_high risk,0.2189970353523606,1.2448275862068958,0.7518892191564567,2.060936212278952,0.3945587108911861,575,,0.6333705622200618,False
mEdu_overseas,-0.6326753588049281,0.531168831168831,0.11507723367270405,2.451747562925514,0.4175014812100569,575,,0.6448720946943741,False
fAgree,-0.0722811661065761,0.930269298840006,0.776763183795661,1.114111722102335,0.43211132777565575,575,,0.6448720946943741,False
m5_hour_start,-0.07430198315171054,0.928391292976576,0.7708835517653787,1.118081182171914,0.4334386210240875,575,,0.6448720946943741,False
mEmploy_s-emp,-0.25413871904266777,0.7755842062852539,0.3736231425369888,1.6099935805758487,0.49523869793008524,575,,0.6887090136744862,False
fConscienc,0.06490702346822418,1.0670598082517095,0.8841522041717924,1.2878061367869866,0.49867805446124214,575,,0.6887090136744862,False
cog_decision_making,0.06474433501576246,1.0668862240632753,0.8837149417515695,1.2880241821417315,0.5005110055715594,575,,0.6887090136744862,False
sexualassault_Yes,0.2039526263258396,1.2262400605831125,0.6703018543492479,2.243264995348528,0.5080640264811784,575,,0.6887090136744862,False
fNeurotic,-0.05385789656835247,0.9475667494217692,0.7873754210864516,1.140348962596272,0.5686706953788396,575,,0.7541067916980265,False
mAgree,-0.050772951180169605,0.9504944546789222,0.7927362749580854,1.1396472407209441,0.583474314591651,575,,0.7572751742572492,False
fAlcohol,-0.04894614729936968,0.9522324086045697,0.7893352093138081,1.148747134674407,0.6091210748706981,575,,0.7740913659815122,False
child_specneeds_Yes,-0.24460317981801902,0.7830151928320996,0.28389684409648497,2.159632292346012,0.6365336912103604,575,,0.7924194931394283,False
child_autism_Yes,-0.22069556967556955,0.8019607843137256,0.21778931747565866,2.9530424496094354,0.7400104214480508,575,,0.887073739176497,False
mEmploy_semi-rou and routine,-0.08366283740214728,0.9197413061916876,0.5592986093858264,1.512473044129526,0.7416518147213336,575,,0.887073739176497,False
cog_word_activity,-0.028147203608285022,0.9722452382597767,0.8085671010190084,1.1690567203730295,0.7647349992701972,575,,0.897092979913116,False
FHYPER,-0.021784901835748813,0.9784506753618171,0.8134900444749569,1.1768622500277792,0.8171156512351387,575,,0.9283229117220172,False
l5_hour_start,0.019425047162942088,1.0196149409639934,0.8476351097128169,1.226488398043392,0.8367118543881065,575,,0.9283229117220172,False
child_ADHD_Yes,0.14328756756988778,1.1540616246498605,0.2946666316434336,4.519881420102949,0.837012461388704,575,,0.9283229117220172,False
mReligion_none,0.02742581298090746,1.027805362462761,0.7115333110522445,1.4846583381247238,0.8837887305235518,575,,0.9626984386060118,False
mEmploy_lo sup and tech,-0.02421425812059462,0.9760765550239234,0.30615466134277214,3.111908984461597,0.9673492035427105,575,,0.9944205445524256,False
mReligion_christian,-0.0071415451052692785,0.9928838951310865,0.6844222541739775,1.4403658314711771,0.9699878038626315,575,,0.9944205445524256,False
mAlcohol,0.0034612637956645486,1.0034672608863708,0.8350740663642133,1.2058170457321102,0.9705400410758627,575,,0.9944205445524256,False
mAge,-0.002572513077015807,0.9974307929991675,0.8299369525604243,1.198727425925183,0.9781185684122219,575,,0.9944205445524256,False
mReligion_sikh,-36.906974994935155,9.364927422164031e-17,0.0,inf,0.9999996505629369,575,,0.9999996505629369,False
mReligion_other,,,,,,575,Singular matrix,,
