Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr
FEMOTION,0.47945666462989817,1.615196570309617,1.4320576546427304,1.8217562346613816,5.777227380959018e-15,1321,,4.101831440480903e-13,True
Depression,0.498166461661005,1.6457010467343312,1.4474089171500295,1.8711588018645213,2.850887260359308e-14,1321,,1.0120649774275544e-12,True
FPEER,0.43567022974053776,1.5459988862238268,1.3720114446526404,1.7420500138833974,8.542084749895995e-13,1321,,2.0216267241420523e-11,True
SelfEsteem,0.4278739761747634,1.5339927491514949,1.3530763541625408,1.739099014782344,2.3458437650884945e-11,1321,,4.1638726830320775e-10,True
mKessler,0.30470123064279436,1.3562197455683735,1.2070577865911263,1.5238143680461516,2.965510407156967e-07,1321,,4.211024778162893e-06,True
child_ilness_Yes,0.691238175844021,1.9961856325492686,1.5147319354788815,2.6306681639588887,9.163616112021045e-07,1321,,1.0843612399224904e-05,True
mDepression_Yes,0.5619182200489224,1.7540338983050852,1.3649727436564123,2.2539900014133742,1.1248292777155907e-05,1321,,0.0001140898267397242,True
mNeurotic,0.24476904988449052,1.2773262804852563,1.129359439899909,1.4446794963372327,9.753944555830057e-05,1321,,0.000844172290580709,True
sex_male,-0.5921790139581236,0.5531207128895581,0.40992768915597316,0.7463329048529949,0.00010700775514403354,1321,,0.000844172290580709,True
FCONDUCT,0.22239751346256983,1.2490678004567588,1.1114951718198804,1.4036681487184304,0.00018735284641589398,1321,,0.0013302052095528472,True
BMI,0.21068344312506918,1.2345214969331404,1.0971483772631558,1.3890950011627219,0.0004645484880454495,1321,,0.0029984493319297196,True
FHYPER,0.18916084686477203,1.2082352777105076,1.0723638360900032,1.3613220039449974,0.0018843808973466457,1321,,0.01114925364263432,True
child_cannabis_more than 5,0.987875266973461,2.6855223880597006,1.4158415435045768,5.093811895728263,0.0024891811084754665,1321,,0.013594758361673702,True
mConscienc,-0.17532745980109038,0.8391821773427052,0.7453759350498995,0.9447940209157661,0.003743859156884469,1321,,0.01898671429562838,True
Obesity_obese,0.5975961263311421,1.8177439174244303,1.204539049722001,2.7431181663193884,0.004421756364643943,1321,,0.020929646792648,True
mEmploy_management,0.29800245244041573,1.3471650917176203,1.0516094935047338,1.7257868016140872,0.0183629193248065,1321,,0.08148545450382884,False
mEdu_higher edu,-0.27748070729646607,0.7576901823540247,0.5936555969552163,0.9670496081905606,0.0258026129372287,1321,,0.10776385403195517,False
cog_word_activity,-0.13141620837605447,0.8768527449751379,0.7747038053375958,0.9924705817539908,0.03756220310470498,1321,,0.14816202335744744,False
mExtravert,-0.12633612667956537,0.8813185623096589,0.7810500361855276,0.994459218086592,0.040348326251979594,1321,,0.15077532441529218,False
sexualassault_Yes,0.3743276661217415,1.4540135033758448,0.988734224220714,2.1382442482615605,0.057116298872772135,1321,,0.20276286099834107,False
mReligion_muslim,-0.5687676779523123,0.5662227777510694,0.30718184045538127,1.0437082920294112,0.06831994496253495,1321,,0.22321250953632418,False
cog_risk_taking,-0.11323032558968484,0.8929449683524946,0.7902950823443332,1.008927847736031,0.06916443957463565,1321,,0.22321250953632418,False
child_alcohol_some,-0.23374138239080378,0.7915665024630545,0.6039438564409974,1.0374764494070265,0.09037013739228214,1321,,0.2789686849935666,False
mEthnicity_non-white,-0.3532731350844448,0.7023853211009174,0.45738132903813217,1.0786298171277309,0.10649388227855949,1321,,0.3123531120071484,False
Obesity_overweight,0.2368215615733187,1.2672149777529516,0.9478117714929344,1.6942539100479872,0.10998349014336209,1321,,0.3123531120071484,False
