Feature,Beta,OR,CI_low,CI_high,p_value,N,Error,p_value_fdr,significant_fdr
FEMOTION,0.47945666462989817,1.615196570309617,1.4320576546427304,1.8217562346613816,5.777227380959018e-15,1321,,4.101831440480903e-13,True
Depression,0.498166461661005,1.6457010467343312,1.4474089171500295,1.8711588018645213,2.850887260359308e-14,1321,,1.0120649774275544e-12,True
FPEER,0.43567022974053776,1.5459988862238268,1.3720114446526404,1.7420500138833974,8.542084749895995e-13,1321,,2.0216267241420523e-11,True
SelfEsteem,0.4278739761747634,1.5339927491514949,1.3530763541625408,1.739099014782344,2.3458437650884945e-11,1321,,4.1638726830320775e-10,True
mKessler,0.30470123064279436,1.3562197455683735,1.2070577865911263,1.5238143680461516,2.965510407156967e-07,1321,,4.211024778162893e-06,True
child_ilness_Yes,0.691238175844021,1.9961856325492686,1.5147319354788815,2.6306681639588887,9.163616112021045e-07,1321,,1.0843612399224904e-05,True
mDepression_Yes,0.5619182200489224,1.7540338983050852,1.3649727436564123,2.2539900014133742,1.1248292777155907e-05,1321,,0.0001140898267397242,True
mNeurotic,0.24476904988449052,1.2773262804852563,1.129359439899909,1.4446794963372327,9.753944555830057e-05,1321,,0.000844172290580709,True
sex_male,-0.5921790139581236,0.5531207128895581,0.40992768915597316,0.7463329048529949,0.00010700775514403354,1321,,0.000844172290580709,True
FCONDUCT,0.22239751346256983,1.2490678004567588,1.1114951718198804,1.4036681487184304,0.00018735284641589398,1321,,0.0013302052095528472,True
BMI,0.21068344312506918,1.2345214969331404,1.0971483772631558,1.3890950011627219,0.0004645484880454495,1321,,0.0029984493319297196,True
FHYPER,0.18916084686477203,1.2082352777105076,1.0723638360900032,1.3613220039449974,0.0018843808973466457,1321,,0.01114925364263432,True
child_cannabis_more than 5,0.987875266973461,2.6855223880597006,1.4158415435045768,5.093811895728263,0.0024891811084754665,1321,,0.013594758361673702,True
mConscienc,-0.17532745980109038,0.8391821773427052,0.7453759350498995,0.9447940209157661,0.003743859156884469,1321,,0.01898671429562838,True
Obesity_obese,0.5975961263311421,1.8177439174244303,1.204539049722001,2.7431181663193884,0.004421756364643943,1321,,0.020929646792648,True
