Model,Variant,Recall,Precision,F1,Specificity,NPV,AUROC,FN,Recovered_FNs
XGBoost (F1 (macro)),Stage 1 only,0.7569014084507042,0.3136399898533064,0.44327142597313046,0.3929971689546498,0.8159519475101453,0.6406776248538719,17.2,0.0
XGBoost (F1 (macro)),Two stage,0.9914285714285714,0.2714555796818007,0.42611897546252714,0.02474760963623738,0.3769230769230769,0.6086834698700188,0.6,16.6
XGBoost (F1 (macro)),Delta (Two stage - Stage 1),0.23452716297786724,-0.042184410171505704,-0.017152450510603323,-0.3682495593184124,-0.4390288705870684,-0.03199415498385316,-16.599999999999998,16.6
XGBoost (Balanced Acc),Stage 1 only,0.7569014084507042,0.3136399898533064,0.44327142597313046,0.3929971689546498,0.8159519475101453,0.6406776248538719,17.2,0.0
XGBoost (Balanced Acc),Two stage,0.9886116700201206,0.2708982987483551,0.42517311942685077,0.02474760963623738,0.27692307692307694,0.6125074500203508,0.8,16.4
XGBoost (Balanced Acc),Delta (Two stage - Stage 1),0.23171026156941643,-0.042741691104951296,-0.018098306546279697,-0.3682495593184124,-0.5390288705870684,-0.028170174833521133,-16.4,16.4
XGBoost (AUCPR),Stage 1 only,0.7287323943661972,0.31946476089546877,0.443045057271958,0.42926659900646336,0.8135054899583322,0.6316431068651103,19.2,0.0
XGBoost (AUCPR),Two stage,0.9971428571428571,0.27094072608203873,0.42609258784711307,0.017568505955878427,0.58,0.6124913736465049,0.2,19.0
XGBoost (AUCPR),Delta (Two stage - Stage 1),0.2684104627766599,-0.04852403481343004,-0.016952469424844907,-0.4116980930505849,-0.2335054899583322,-0.019151733218605416,-19.0,19.0
XGBoost (F1 Weighted),Stage 1 only,0.726036217303823,0.32246642747298837,0.4445168901078718,0.4384648255969232,0.8197450006659956,0.6330808159678654,19.4,0.0
XGBoost (F1 Weighted),Two stage,0.9971830985915492,0.2684545321579108,0.4230147666378444,0.005181347150259067,0.16666666666666669,0.5970950401946963,0.2,19.2
XGBoost (F1 Weighted),Delta (Two stage - Stage 1),0.27114688128772624,-0.05401189531507755,-0.021502123470027446,-0.4332834784466641,-0.6530783339993289,-0.03598577577316908,-19.2,19.2
LogReg (F1 (macro)),Stage 1 only,0.6663983903420523,0.3658055768548144,0.4717776842508584,0.5769723839538485,0.826276166009112,0.672832595165029,23.6,0.0
LogReg (F1 (macro)),Two stage,0.9887323943661972,0.26907966521430876,0.4229928914338362,0.016580310880829015,0.3120879120879121,0.6354180808369259,0.8,22.8
LogReg (F1 (macro)),Delta (Two stage - Stage 1),0.3223340040241449,-0.09672591164050565,-0.04878479281702219,-0.5603920730730195,-0.5141882539211999,-0.037414514328103166,-22.8,22.8
LogReg (Balanced Acc),Stage 1 only,0.6663983903420523,0.3658055768548144,0.4717776842508584,0.5769723839538485,0.826276166009112,0.672832595165029,23.6,0.0
LogReg (Balanced Acc),Two stage,0.9887323943661972,0.26866502044168733,0.42248291360678525,0.01450777202072539,0.28923076923076924,0.6355348435896078,0.8,22.8
LogReg (Balanced Acc),Delta (Two stage - Stage 1),0.3223340040241449,-0.09714055641312708,-0.04929477064407317,-0.5624646119331231,-0.5370453967783428,-0.037297751575421256,-22.8,22.8
LogReg (AUCPR),Stage 1 only,0.7002012072434607,0.3485267265016692,0.46386519061695486,0.5190908605309545,0.8277955600104713,0.6684267573283298,21.2,0.0
LogReg (AUCPR),Two stage,0.9746478873239436,0.2680671294733098,0.42037045371940573,0.025906735751295335,0.30166666666666664,0.6359486291177975,1.8,19.4
LogReg (AUCPR),Delta (Two stage - Stage 1),0.2744466800804829,-0.08045959702835942,-0.043494736897549124,-0.4931841247796592,-0.5261288933438046,-0.03247812821053231,-19.4,19.4
LogReg (F1 Weighted),Stage 1 only,0.7002012072434607,0.3485267265016692,0.46386519061695486,0.5190908605309545,0.8277955600104713,0.6684267573283298,21.2,0.0
LogReg (F1 Weighted),Two stage,0.9746478873239436,0.2680671294733098,0.42037045371940573,0.025906735751295335,0.30166666666666664,0.6321689068227,1.8,19.4
LogReg (F1 Weighted),Delta (Two stage - Stage 1),0.2744466800804829,-0.08045959702835942,-0.043494736897549124,-0.4931841247796592,-0.5261288933438046,-0.036257850505629796,-19.4,19.4
