Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
LogReg (F1 Weighted),1,Stage 1 only,0.37,,0.46956521739130436,0.560172819250752,0.33962264150943394,0.7605633802816901,0.4587628865979381,0.839622641509434,0.6806301727893131,89,105,17,54,0
LogReg (F1 Weighted),1,Two stage,0.37,0.09,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6514447509801075,0,194,0,71,17
LogReg (F1 Weighted),2,Stage 1 only,0.5,,0.43478260869565216,0.627968256886356,0.3508771929824561,0.5714285714285714,0.6185567010309279,0.8,0.6551546391752577,120,74,30,40,0
LogReg (F1 Weighted),2,Two stage,0.5,0.41000000000000003,0.41916167664670656,0.11114135365632372,0.26515151515151514,1.0,0.0,0.0,0.628497790868925,0,194,0,70,30
LogReg (F1 Weighted),3,Stage 1 only,0.42,,0.4788732394366197,0.6022366522366523,0.3591549295774648,0.7183098591549296,0.5284974093264249,0.8360655737704918,0.6666423410931913,102,91,20,51,0
LogReg (F1 Weighted),3,Two stage,0.42,0.33,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.6179668685689264,0,193,0,71,20
LogReg (F1 Weighted),4,Stage 1 only,0.45,,0.46601941747572817,0.6066503849323605,0.35555555555555557,0.676056338028169,0.5492227979274611,0.8217054263565892,0.6941545646938626,106,87,23,48,0
LogReg (F1 Weighted),4,Two stage,0.45,0.48,0.4115755627009646,0.22523294048550765,0.26666666666666666,0.9014084507042254,0.08808290155440414,0.7083333333333334,0.661388017222506,17,176,7,64,16
LogReg (F1 Weighted),5,Stage 1 only,0.37,,0.4700854700854701,0.5491466205751919,0.3374233128834356,0.7746478873239436,0.44041450777202074,0.8415841584158416,0.6455520688900241,85,108,16,55,0
LogReg (F1 Weighted),5,Two stage,0.37,0.41000000000000003,0.4246153846153846,0.17181634457496525,0.27165354330708663,0.971830985915493,0.04145077720207254,0.8,0.6015471064730351,8,185,2,69,14
