Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
LogReg (F1 (macro)),1,Stage 1 only,0.49,,0.48205128205128206,0.6405135425918305,0.3790322580645161,0.6619718309859155,0.6030927835051546,0.8297872340425532,0.6825177871351823,117,77,24,47,0
LogReg (F1 (macro)),1,Two stage,0.49,0.0,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6423696820095833,0,194,0,71,24
LogReg (F1 (macro)),2,Stage 1 only,0.5,,0.43478260869565216,0.627968256886356,0.3508771929824561,0.5714285714285714,0.6185567010309279,0.8,0.6551546391752577,120,74,30,40,0
LogReg (F1 (macro)),2,Two stage,0.5,0.0,0.41916167664670656,0.11114135365632372,0.26515151515151514,1.0,0.0,0.0,0.6282768777614138,0,194,0,70,30
LogReg (F1 (macro)),3,Stage 1 only,0.42,,0.4788732394366197,0.6022366522366523,0.3591549295774648,0.7183098591549296,0.5284974093264249,0.8360655737704918,0.6666423410931913,102,91,20,51,0
LogReg (F1 (macro)),3,Two stage,0.42,0.4,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.6370137926001606,0,193,0,71,20
LogReg (F1 (macro)),4,Stage 1 only,0.47000000000000003,,0.4824120603015075,0.6319271359098152,0.375,0.676056338028169,0.5854922279792746,0.8308823529411765,0.6951032620594031,113,80,23,48,0
LogReg (F1 (macro)),4,Two stage,0.47000000000000003,0.45,0.42857142857142855,0.1933341739166982,0.2749003984063745,0.971830985915493,0.05699481865284974,0.8461538461538461,0.6353353280303583,11,182,2,69,21
LogReg (F1 (macro)),5,Stage 1 only,0.47000000000000003,,0.4807692307692308,0.613625437062937,0.36496350364963503,0.704225352112676,0.5492227979274611,0.8346456692913385,0.6647449463621105,106,87,21,50,0
LogReg (F1 (macro)),5,Two stage,0.47000000000000003,0.41000000000000003,0.42073170731707316,0.14970436067997045,0.26848249027237353,0.971830985915493,0.025906735751295335,0.7142857142857143,0.6340947237831132,5,188,2,69,19
