Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
XGBoost (AUCPR),1,Stage 1 only,0.32,,0.4596774193548387,0.5073686777776338,0.3220338983050847,0.8028169014084507,0.38144329896907214,0.8409090909090909,0.6589952083635836,74,120,14,57,0
XGBoost (AUCPR),1,Two stage,0.32,0.01,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6346014229708146,0,194,0,71,14
XGBoost (AUCPR),2,Stage 1 only,0.31,,0.4083333333333333,0.4807975589225589,0.28823529411764703,0.7,0.37628865979381443,0.776595744680851,0.6245213549337261,73,121,21,49,0
XGBoost (AUCPR),2,Two stage,0.31,0.05,0.42592592592592593,0.17777447679408465,0.27165354330708663,0.9857142857142858,0.04639175257731959,0.9,0.6130338733431517,9,185,1,69,20
XGBoost (AUCPR),3,Stage 1 only,0.27,,0.43781094527363185,0.5961757102726567,0.3384615384615385,0.6197183098591549,0.5544041450777202,0.7985074626865671,0.6096475224403415,107,86,27,44,0
XGBoost (AUCPR),3,Two stage,0.27,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5926439465810407,0,193,0,71,27
XGBoost (AUCPR),4,Stage 1 only,0.13,,0.4491525423728814,0.5263832309629849,0.3212121212121212,0.7464788732394366,0.41968911917098445,0.8181818181818182,0.6207399839451215,81,112,18,53,0
XGBoost (AUCPR),4,Two stage,0.13,0.04,0.4264264264264264,0.12967897967897968,0.27099236641221375,1.0,0.010362694300518135,1.0,0.5787053929796395,2,191,0,71,18
XGBoost (AUCPR),5,Stage 1 only,0.18,,0.4602510460251046,0.5285190732592682,0.3273809523809524,0.7746478873239436,0.41450777202072536,0.8333333333333334,0.644311464642779,80,113,16,55,0
XGBoost (AUCPR),5,Two stage,0.18,0.03,0.4316109422492401,0.1601612418729921,0.2751937984496124,1.0,0.031088082901554404,1.0,0.6434722323578779,6,187,0,71,16
