Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
XGBoost (Balanced Acc),1,Stage 1 only,0.32,,0.4596774193548387,0.5073686777776338,0.3220338983050847,0.8028169014084507,0.38144329896907214,0.8409090909090909,0.6589952083635836,74,120,14,57,0
XGBoost (Balanced Acc),1,Two stage,0.32,0.01,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6346014229708146,0,194,0,71,14
XGBoost (Balanced Acc),2,Stage 1 only,0.31,,0.4083333333333333,0.4807975589225589,0.28823529411764703,0.7,0.37628865979381443,0.776595744680851,0.6245213549337261,73,121,21,49,0
XGBoost (Balanced Acc),2,Two stage,0.31,0.08,0.43506493506493504,0.2690082644628099,0.2815126050420168,0.9571428571428572,0.11855670103092783,0.8846153846153846,0.6097938144329897,23,171,3,67,18
XGBoost (Balanced Acc),3,Stage 1 only,0.31,,0.4470588235294118,0.473711582535112,0.30978260869565216,0.8028169014084507,0.34196891191709844,0.825,0.6305918412026563,66,127,14,57,0
XGBoost (Balanced Acc),3,Two stage,0.31,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5793621834634752,0,193,0,71,14
XGBoost (Balanced Acc),4,Stage 1 only,0.33,,0.44635193133047213,0.5314180945264091,0.32098765432098764,0.7323943661971831,0.43005181347150256,0.8137254901960784,0.640370721739765,83,110,19,52,0
XGBoost (Balanced Acc),4,Two stage,0.33,0.01,0.42042042042042044,0.12056567056567057,0.26717557251908397,0.9859154929577465,0.0051813471502590676,0.5,0.6513172298036927,1,192,1,70,18
XGBoost (Balanced Acc),5,Stage 1 only,0.34,,0.45493562231759654,0.5386829302701858,0.3271604938271605,0.7464788732394366,0.43523316062176165,0.8235294117647058,0.6489089980296285,84,109,18,53,0
XGBoost (Balanced Acc),5,Two stage,0.34,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5874625994307816,0,193,0,71,18
