Model,Fold,Variant,Stage1_threshold,Stage2_threshold,F1,Weighted F1,Precision,Recall,Specificity,NPV,AUROC,TN,FP,FN,TP,Recovered_FNs
XGBoost (F1 Weighted),1,Stage 1 only,0.2,,0.4533333333333333,0.5583041550675328,0.33116883116883117,0.7183098591549296,0.4690721649484536,0.8198198198198198,0.6597212138812255,91,103,20,51,0
XGBoost (F1 Weighted),1,Two stage,0.2,0.0,0.4226190476190476,0.11323000898472596,0.2679245283018868,1.0,0.0,0.0,0.6326412080731814,0,194,0,71,20
XGBoost (F1 Weighted),2,Stage 1 only,0.17,,0.4406779661016949,0.5195031344323194,0.3132530120481928,0.7428571428571429,0.41237113402061853,0.8163265306122449,0.6209131075110457,80,114,18,52,0
XGBoost (F1 Weighted),2,Two stage,0.17,0.0,0.41916167664670656,0.11114135365632372,0.26515151515151514,1.0,0.0,0.0,0.6047496318114876,0,194,0,70,18
XGBoost (F1 Weighted),3,Stage 1 only,0.27,,0.43781094527363185,0.5961757102726567,0.3384615384615385,0.6197183098591549,0.5544041450777202,0.7985074626865671,0.6096475224403415,107,86,27,44,0
XGBoost (F1 Weighted),3,Two stage,0.27,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.5821352988396701,0,193,0,71,27
XGBoost (F1 Weighted),4,Stage 1 only,0.2,,0.4292237442922374,0.5507592885901171,0.31756756756756754,0.6619718309859155,0.47668393782383417,0.7931034482758621,0.6347515142669489,92,101,24,47,0
XGBoost (F1 Weighted),4,Two stage,0.2,0.0,0.42388059701492536,0.11399819086386251,0.2689393939393939,1.0,0.0,0.0,0.6026052689192147,0,193,0,71,24
XGBoost (F1 Weighted),5,Stage 1 only,0.1,,0.46153846153846156,0.433751542575072,0.3118811881188119,0.8873239436619719,0.27979274611398963,0.8709677419354839,0.6403707217397651,54,139,8,63,0
XGBoost (F1 Weighted),5,Two stage,0.1,0.1,0.425531914893617,0.1511790091657514,0.2713178294573643,0.9859154929577465,0.025906735751295335,0.8333333333333334,0.5633437933299278,5,188,1,70,7
